,match_id,radiant_team,dire_team
43,8601116817,"[44, 102, 131, 106, 7]","[97, 95, 36, 64, 123]"
44,8601116764,"[14, 21, 129, 70, 64]","[97, 109, 39, 110, 8]"
45,8601116748,"[59, 21, 72, 14, 96]","[39, 70, 27, 129, 75]"
46,8601116640,"[2, 91, 61, 93, 7]","[39, 11, 49, 9, 5]"
47,8601116617,"[95, 5, 106, 85, 45]","[123, 126, 137, 71, 8]"
48,8601116524,"[45, 9, 7, 106, 137]","[109, 2, 36, 51, 64]"
49,8601116500,"[22, 8, 39, 21, 104]","[107, 109, 52, 98, 53]"
50,8601116413,"[72, 85, 39, 15, 1]","[53, 59, 36, 51, 100]"
51,8601116220,"[22, 39, 63, 38, 70]","[71, 75, 21, 60, 52]"
52,8601116194,"[57, 126, 25, 97, 59]","[47, 84, 120, 21, 86]"
53,8601116189,"[21, 101, 29, 8, 79]","[64, 39, 1, 15, 71]"
54,8601116086,"[22, 26, 102, 108, 120]","[53, 3, 19, 38, 51]"
55,8601116062,"[47, 126, 10, 121, 62]","[60, 66, 63, 61, 71]"
56,8601116053,"[21, 128, 64, 70, 74]","[47, 126, 14, 53, 39]"
57,8601116050,"[35, 11, 52, 9, 12]","[32, 137, 72, 14, 8]"
58,8601116004,"[88, 27, 53, 8, 40]","[101, 86, 41, 97, 39]"
59,8601115914,"[71, 8, 84, 40, 27]","[10, 85, 2, 128, 36]"
60,8601115912,"[2, 131, 39, 18, 21]","[97, 74, 8, 129, 111]"
61,8601115849,"[102, 19, 84, 35, 1]","[98, 40, 11, 101, 76]"
62,8601115837,"[86, 7, 8, 47, 43]","[67, 126, 83, 53, 2]"
63,8601115802,"[48, 137, 68, 11, 67]","[27, 52, 84, 101, 29]"
64,8601115685,"[70, 26, 47, 68, 64]","[20, 88, 62, 109, 34]"
65,8601115681,"[84, 40, 97, 64, 8]","[41, 22, 135, 68, 78]"
66,8601115665,"[7, 34, 18, 14, 27]","[51, 98, 79, 39, 32]"
67,8601115606,"[61, 40, 12, 60, 87]","[38, 74, 39, 128, 105]"
68,8601115545,"[129, 14, 39, 9, 8]","[46, 136, 128, 63, 28]"
69,8601115529,"[68, 59, 62, 145, 110]","[63, 38, 14, 40, 52]"
70,8601115520,"[2, 39, 86, 6, 17]","[10, 129, 27, 25, 76]"
71,8601115496,"[5, 123, 59, 49, 109]","[45, 47, 51, 113, 63]"
72,8601115401,"[2, 26, 56, 45, 70]","[128, 88, 36, 135, 42]"
73,8601115375,"[59, 53, 22, 1, 40]","[102, 83, 35, 26, 79]"
74,8601115265,"[52, 26, 96, 81, 53]","[128, 39, 111, 21, 72]"
75,8601115260,"[113, 93, 97, 30, 14]","[74, 123, 55, 1, 5]"
76,8601115259,"[28, 79, 8, 47, 7]","[64, 104, 39, 1, 40]"
77,8601115215,"[94, 72, 49, 68, 36]","[96, 52, 86, 63, 123]"
78,8601115198,"[22, 100, 53, 13, 69]","[8, 34, 64, 123, 98]"
79,8601115095,"[123, 70, 87, 104, 35]","[3, 52, 98, 59, 101]"
80,8601115082,"[102, 47, 119, 14, 109]","[9, 85, 38, 63, 97]"
81,8601115077,"[59, 135, 86, 87, 14]","[71, 94, 13, 22, 74]"
82,8601115040,"[39, 84, 15, 49, 14]","[70, 53, 88, 64, 7]"
83,8601114908,"[74, 40, 26, 14, 49]","[28, 39, 88, 53, 105]"
84,8601114889,"[126, 136, 40, 68, 135]","[20, 76, 98, 8, 14]"
85,8601114878,"[36, 86, 6, 60, 100]","[50, 52, 1, 63, 14]"
86,8601114806,"[14, 8, 120, 85, 101]","[86, 20, 74, 37, 136]"
87,8601114805,"[102, 7, 87, 114, 106]","[39, 70, 110, 71, 108]"
88,8601114803,"[64, 109, 36, 40, 20]","[86, 45, 12, 29, 13]"
89,8601114688,"[17, 28, 83, 63, 123]","[14, 68, 131, 129, 8]"
90,8601114598,"[7, 59, 131, 1, 34]","[46, 129, 86, 64, 8]"
91,8601114554,"[8, 126, 136, 63, 137]","[6, 17, 14, 21, 40]"
92,8601114485,"[14, 138, 39, 75, 40]","[17, 8, 98, 105, 21]"
93,8601114457,"[128, 70, 106, 135, 73]","[28, 75, 63, 107, 47]"
94,8601114407,"[5, 135, 61, 73, 39]","[1, 45, 78, 119, 88]"
95,8601114385,"[135, 106, 41, 74, 138]","[71, 27, 2, 8, 97]"
96,8601114225,"[76, 52, 94, 53, 84]","[72, 75, 2, 126, 14]"
97,8601114195,"[13, 75, 70, 98, 21]","[36, 129, 40, 74, 8]"
98,8601114148,"[112, 39, 70, 60, 62]","[36, 72, 84, 28, 101]"
99,8601113956,"[87, 94, 70, 29, 83]","[20, 102, 39, 27, 48]"
0,8601113865,"[7, 72, 74, 19, 87]","[28, 123, 131, 41, 76]"
1,8601113847,"[47, 35, 88, 79, 30]","[36, 37, 131, 77, 42]"
2,8601113776,"[64, 70, 47, 40, 123]","[71, 56, 20, 86, 98]"
3,8601113767,"[105, 67, 98, 13, 14]","[113, 57, 94, 34, 2]"
4,8601113709,"[17, 67, 87, 81, 40]","[22, 104, 126, 10, 131]"
5,8601113699,"[58, 29, 32, 39, 145]","[47, 52, 27, 53, 49]"
6,8601113678,"[61, 53, 70, 90, 59]","[12, 97, 40, 39, 86]"
7,8601113672,"[128, 45, 8, 59, 2]","[72, 63, 84, 7, 129]"
8,8601113634,"[107, 135, 1, 39, 14]","[54, 119, 84, 16, 34]"
9,8601113443,"[8, 64, 13, 21, 59]","[53, 86, 2, 72, 14]"
10,8601113441,"[109, 100, 85, 39, 53]","[2, 40, 22, 21, 6]"
11,8601113169,"[101, 104, 50, 39, 47]","[70, 52, 65, 7, 75]"
12,8601113141,"[53, 136, 129, 7, 88]","[96, 21, 82, 27, 84]"
13,8601113133,"[56, 30, 64, 98, 14]","[25, 112, 94, 28, 36]"
14,8601113109,"[8, 87, 23, 2, 128]","[120, 26, 14, 71, 97]"
15,8601113096,"[100, 68, 109, 21, 135]","[39, 129, 37, 73, 10]"
16,8601112999,"[70, 129, 74, 62, 26]","[38, 14, 53, 86, 8]"
17,8601112876,"[49, 21, 14, 40, 135]","[31, 28, 54, 101, 106]"
18,8601112847,"[22, 128, 33, 10, 39]","[7, 21, 14, 8, 31]"
19,8601112802,"[145, 84, 101, 137, 13]","[49, 119, 87, 126, 97]"
20,8601112783,"[69, 12, 128, 13, 75]","[102, 48, 50, 21, 121]"
21,8601112746,"[96, 94, 100, 17, 83]","[53, 8, 14, 13, 27]"
22,8601112729,"[11, 98, 121, 1, 50]","[86, 39, 93, 102, 75]"
23,8601112728,"[17, 26, 36, 45, 97]","[22, 70, 20, 47, 86]"
24,8601112641,"[6, 30, 60, 1, 131]","[74, 101, 64, 95, 69]"
25,8601112614,"[31, 120, 14, 10, 82]","[51, 38, 59, 128, 46]"
26,8601112604,"[81, 84, 93, 86, 71]","[7, 75, 95, 4, 53]"
27,8601112601,"[7, 1, 26, 64, 39]","[87, 37, 72, 126, 104]"
28,8601112594,"[129, 128, 46, 11, 91]","[73, 3, 52, 98, 86]"
29,8601112471,"[94, 20, 71, 104, 39]","[17, 49, 32, 87, 31]"
30,8601112323,"[102, 27, 120, 40, 60]","[107, 1, 14, 45, 111]"
31,8601112322,"[75, 39, 72, 53, 7]","[49, 59, 42, 131, 121]"
32,8601112273,"[75, 1, 7, 47, 86]","[53, 31, 29, 6, 123]"
33,8601112200,"[64, 74, 70, 87, 59]","[67, 7, 42, 52, 40]"
34,8601112190,"[28, 109, 135, 5, 138]","[2, 145, 25, 3, 86]"
